Prompt,Response,Answer,Similarity
 1973 में भारत का मुख्य न्यायाधीश किसे नियुक्त किया गया? यह नियुक्ति विवादास्पद क्यों हुई?,1973 में भारत का मुख्य न्यायाधीश श्री दयाबेन पटेल हुए।,"1973 में सरकार ने तीन जजों की वरिष्ठता को दरकिनार कर जस्टिस एएन रे को भारत का मुख्य न्यायाधीश नियुक्त किया। यह नियुक्ति राजनीतिक रूप से विवादास्पद रही क्योंकि जिन तीन जजों को हटाया गया था, उन सभी ने सरकार के रुख के खिलाफ फैसले दिए थे।",0.8940027
 मार्च 1977 के आम चुनावों में जनता पार्टी और उसके सहयोगियों ने कितनी लोकसभा सीटें जीतीं?,"मार्च 1977 के आम चुनाव में, जनता पार्टी ने 165 सीटें जीतीं।",जनता पार्टी और उसके सहयोगियों ने लोकसभा की 542 सीटों में से 330 सीटें जीतीं; जनता पार्टी ने स्वयं 295 सीटें जीतीं और इस प्रकार उसे स्पष्ट बहुमत प्राप्त हुआ।,0.8491597
 2024 तक महाराष्ट्र के मुख्यमंत्री कौन हैं?,2024 तक मुंबई में मुख्यमंत्री रहे शिवाजी पाटील और के 2025 तक मुंबई में मुख्यमंत्री रहे संजय राऊफ., एकनाथ संभाजी शिंदे एक भारतीय राजनीतिज्ञ हैं जो 30 जून 2022 से महाराष्ट्र के 20वें और वर्तमान मुख्यमंत्री के रूप में कार्यरत हैं। वह फरवरी 2023 से शिवसेना के नेता और जुलाई 2022 से महाराष्ट्र विधानसभा के सदन के नेता के रूप में भी कार्यरत हैं। .,0.75986457
 किस उच्च न्यायालय ने 12 जून 1975 को प्रधानमंत्री इंदिरा गांधी के खिलाफ फैसला सुनाया और उन्हें 1971 की लोकसभा की सदस्यता खोनी पड़ी।,उत्तर - कोलकाता उच्च न्यायालय ने 12 जून 1975 को प्रधानमंत्री इंदिरा गांधी के खिलाफ फैसला सुनाया और उन्हें 1971 की लोकसभा की सदस्यता खोनी पड़ी।,"उत्तर प्रदेश राज्य बनाम राज नारायण (1975 एआईआर 865, 1975 एससीआर (3) 333) 1975 का एक मामला था जिसकी सुनवाई इलाहाबाद उच्च न्यायालय ने की थी जिसमें भारत की प्रधानमंत्री इंदिरा गांधी को चुनावी कदाचार का दोषी पाया गया था।",0.95669293
 भारत में रियासतों के एकीकरण में सरदार पटेल द्वारा निभाई गई भूमिका की व्याख्या करें।,"सरदार पटेल का भारत में रियासतों के एकीकरण एक महत्वपूर्ण भूमिका निभाई थी। उनके कार्यों ने भारतीय इतिहास में एक महत्वपूर्ण मोड़ बनाया और उन्हें राष्ट्रीय एकता और सामाजिक न्याय के प्रतीक के रूप में स्थापित किया।

सार्वजनिक शिक्षा के माध्यम से:
सरदार पटेल ने सामाजिक सेवा और शिक्षा के माध्यम से भारतीय राज्य","सरदार पटेल स्वतंत्रता के तुरंत बाद के महत्वपूर्ण दौर में भारत के उप प्रधानमंत्री और गृह मंत्री थे। उन्होंने रियासतों के शासकों के साथ दृढ़तापूर्वक लेकिन कूटनीतिक तरीके से बातचीत करके उनमें से अधिकांश को भारतीय संघ में शामिल करने में ऐतिहासिक भूमिका निभाई। सरदार पटेल ने भारत में रियासतों के एकीकरण में निम्नलिखित भूमिकाएँ निभाईं: उन्होंने कूटनीति और बातचीत के माध्यम से रियासतों से विलय पत्र प्राप्त किया। उन्होंने हैदराबाद, जूनागढ़, मणिपुर और कश्मीर राज्यों के साथ विलय के लिए बल और अनुनय का प्रयोग किया।",0.9923951
 1952 के प्रथम आम चुनाव में कांग्रेस पार्टी और भारतीय जनसंघ के चुनाव चिन्ह क्या थे?,1952 के प्रथम आम चुनाव में कांग्रेस पार्टी और भारतीय जनसंघ के चुनाव चिन्ह शामिल थे।, 1952 के प्रथम आम चुनाव में कांग्रेस पार्टी का चुनाव चिन्ह बैलों की जोड़ी था तथा भारतीय जनसंघ का चुनाव चिन्ह दीपक था।,0.98345727
 शिवसेना का मुख्यालय कहां है?,"शिवसेना (मुंबई) का मुख्यालय मुंबई में है, जो भारत के पश्चिम भारत की राजधानी है।", शिवसेना का मुख्यालय और मुख्य कार्यालय ठाणे में आनंद दीघे के घर पर स्थित है। दीघे शिवसेना के मुख्य नेता एकनाथ शिंदे के गुरु और संरक्षक थे। 24 फरवरी 2023 को शिंदे के पार्टी की कमान संभालने के बाद मुख्यालय को शिवसेना भवन से स्थानांतरित कर दिया गया उद्धव ठाकरे से;[75] जबकि ठाकरे के गुट ने शिवसेना भवन पर नियंत्रण बनाए रखा।,0.90132034
 वह एकमात्र भारतीय राज्य कौन सा था जिसका अपना आधिकारिक ध्वज था?,उत्तर: 1911,"जम्मू और कश्मीर का राज्य ध्वज 1952 से 2019 के बीच भारत के भूतपूर्व राज्य जम्मू और कश्मीर में इस्तेमाल किया जाने वाला प्रतीक था, जो भारत के संविधान के अनुच्छेद 370 द्वारा क्षेत्र को दिए गए विशेष दर्जे के तहत था। यह एक लाल और सफ़ेद झंडा था जिसमें हल और राज्य के तीन घटक क्षेत्रों का प्रतिनिधित्व था। अगस्त 2019 में अनुच्छेद 370 के उन्मूलन के बाद, इस ध्वज ने अपना आधिकारिक दर्जा खो दिया।",0.5025018
 पंजाब में प्रभुत्व रखने वाली तीन राजनीतिक पार्टियों की सूची बताइए?,"पंजाब में प्रभुत्व रखने वाली तीन राजनीतिक पार्टियाँ निम्नलिखित हैं:

1. **पंजाबी लीग**: पंजाबी लीग एक प्रमुख पंजाबी राजनीतिक पार्टी है जो पंजाब के विभिन्न क्षेत्रों में सक्रिय है। यह पार्टी पंजाब के राजनीतिक और सामाजिक मामलों में सक्रिय है और अपने विभिन्न विचारों और नीतियों के लिए जानी जाती है।

2."," पुनर्गठित वर्तमान पंजाब की राजनीति में मुख्य रूप से तीन पार्टियों का वर्चस्व है - भारतीय राष्ट्रीय कांग्रेस, आम आदमी पार्टी और शिरोमणि अकाली दल (बादल)।",0.8950896
 2024 तक उत्तर प्रदेश के स्वास्थ्य मंत्री कौन हैं?,उत्तर - वर्तमान में उत्तर प्रदेश के मुख्य मंत्री के रूप में श्री के श्री शर्मा (संजय कुमार श्री शर्मा) हैं।," जय प्रताप सिंह (जन्म 7 सितम्बर 1953) एक भारतीय राजनीतिज्ञ हैं जो उत्तर प्रदेश सरकार के योगी आदित्यनाथ मंत्रिमंडल में चिकित्सा एवं स्वास्थ्य, परिवार कल्याण, मातृ एवं शिशु कल्याण मंत्री के रूप में कार्यरत हैं।",0.918269
 वर्तमान में 2024 तक मध्य प्रदेश में कौन सी सरकार सत्ता में है?,"मध्य प्रदेश में वर्तमान सरकार की जानकारी अप 2023 तक है, जो भारतीय राजनीति से संबंधित है। जैसा कि आमतौर पर होता है, मध्य प्रदेश की सरकार की स्थिति समय-समय पर बदल सकती है, लेकिन 2023 तक, यह रही मध्य प्रदेश की सरकार की जानकारी।

वर्तमान में, मध्य प्रदेश की सरकार का मुख्यमंत्री मनीषा कुमार सिंह चौहान हैं। वह भारत"," डॉ. मोहन यादव (जन्म 25 मार्च 1965) एक भारतीय राजनीतिज्ञ और व्यवसायी हैं, जो 2023 से (2024 तक) मध्य प्रदेश के 19वें और वर्तमान मुख्यमंत्री के रूप में कार्यरत हैं। भारतीय जनता पार्टी के सदस्य, वे सदस्य के रूप में उज्जैन दक्षिण निर्वाचन क्षेत्र का प्रतिनिधित्व करते हैं 2013 से मध्य प्रदेश विधान सभा के सदस्य हैं।",0.9307127
 2007 में उत्तर प्रदेश विधानसभा चुनाव का परिणाम क्या था?,2007 में उत्तर प्रदेश विधानसभा चुनाव में भारतीय जनता पार्टी (BJP) की जीत हुई।, बहुजन समाज पार्टी ने 403 में से 206 सीटें जीतकर विधानसभा में पूर्ण बहुमत हासिल किया।,0.735026
 एम. करुणानिधि पहली बार किस निर्वाचन क्षेत्र से तमिलनाडु विधानसभा के लिए चुने गए थे?,एम. करुणानिधि ने 2009 के बाद से तमिलनाडु विधानसभा के लिए चुने गए थे।, Kulithalai,0.36201635
 दक्षिण भारत का पहला कम्युनिस्ट किसे माना जाता है?,दक्षिण भारत में कम्युनिस्ट पार्टी का गठन 1921 में किया गया था। यह पार्टी के मुख्य नेता के. क. जे गांधी थे।,"मलयपुरम सिंगारवेलु को दक्षिण भारत का पहला कम्युनिस्ट माना जाता है। 1925 में, वे भारतीय कम्युनिस्ट पार्टी के संस्थापक सदस्यों में से एक बने; और कानपुर में इसके उद्घाटन सम्मेलन की अध्यक्षता की। उन्हें भारत में पहला ट्रेड यूनियन संगठित करने और 19वीं सदी के भारत में व्याप्त गंभीर अस्पृश्यता के खिलाफ़ लड़ाई लड़ने के लिए भी जाना जाता है।",0.9050808
 आंध्र प्रदेश की सबसे प्रभावशाली राजनीतिक पार्टी के संस्थापक कौन थे?,आंध्र प्रदेश में सबसे प्रभावशाली राजनीतिक पार्टी के संस्थापक निर्मला डायकम थीं।,तेलुगु देशम पार्टी (टीडीपी; अनुवाद: तेलुगु भूमि की पार्टी) एक भारतीय क्षेत्रीय राजनीतिक पार्टी है जिसका आंध्र प्रदेश और तेलंगाना राज्यों में प्रभाव है। इसकी स्थापना तेलुगु फिल्म स्टार एनटी रामा राव (एनटीआर) ने 29 मार्च 1982 को की थी और इसका ध्यान तेलुगु लोगों को समर्थन देने पर केंद्रित है।,0.91096926
 कर्नाटक की राजनीति पर हावी जाति समूहों का उल्लेख करें?,"कर्नाटक एक राज्य है जो भारत के पूर्व में स्थित है, और इसकी राजनीति में कई हावी जाति समूह शामिल हैं। इनमें से कुछ प्रमुख हैं:

1. **कुल्लन**: कुल्लन एक प्रमुख हावी समूह हैं जो कर्नाटक के कोट्टंग जिले में बसे हैं। वे अपनी मूलभूत कुल्लवाड़ी, संस्कृति, और परंपराओं के लिए जाने जाते हैं।
2. **कोंकोन"," कर्नाटक के राजनीतिक माहौल में दो जाति समूहों का वर्चस्व है - दक्षिणी कर्नाटक में वोक्कालिगा का वर्चस्व है और उत्तरी और मध्य कर्नाटक में लिंगायत का वर्चस्व है, लेकिन दलित प्रमुख मतदाता हैं और कर्नाटक में सत्तारूढ़ पार्टी का निर्णायक कारक हैं।",0.9412661
भारत के किस राज्य ने कम्युनिस्टों को सत्ता में चुना?,भारत में 2019 में कम्युनिस्ट पार्टी के नेता प्रणवीर सिंह को केरल में मुख्यमंत्री बनाया गया।," केरल ने 1957 में लोकतांत्रिक तरीके से कम्युनिस्टों को सत्ता में चुनकर इतिहास रच दिया, ऐसा करने वाला वह विश्व का पहला राज्य था।",0.83285797
 प्रशासनिक उद्देश्यों के लिए बिहार में कितने प्रमंडल हैं?,बिहार में प्रमंडल 31 हैं।,"प्रशासनिक उद्देश्यों के लिए, बिहार राज्य में नौ प्रमंडल हैं - पटना, तिरहुत, सारण, दरभंगा, कोसी, पूर्णिया, भागलपुर, मुंगेर और मगध प्रमंडल - जो आपस में मिलकर अड़तीस जिलों में विभाजित हैं।",0.8145508
 पश्चिम बंगाल में शरणार्थियों की बाढ़ का क्या परिणाम हुआ?,"पश्चिम बंगाल में शरणार्थियों की बाढ़ के परिणाम बहुत ही गंभीर और दुखद थे। बाढ़ के कारण शरणार्थियों को अपने घरों से बाहर निकलना मुश्किल हो गया और उन्हें भोजन, पानी और साफ-सुथरी स्थिति में डाल दिया गया। कई लोग अपने परिवारों के साथ बाढ़ के दौरान मारे गए या घायल हो गए।"," 1971 के बांग्लादेश मुक्ति युद्ध के परिणामस्वरूप लाखों शरणार्थी पश्चिम बंगाल में आ गए, जिससे इसके बुनियादी ढांचे पर काफी दबाव पड़ा। अंतर्राष्ट्रीय मीडिया ने शरणार्थी संकट से निपटने के लिए सरकार को श्रेय दिया।",0.7556087
 2024 तक पश्चिम बंगाल में प्रमुख राजनीतिक दल कौन सा है?,"पश्चिम बंगाल में राजनीतिक दलों की स्थिति काफी जटिल है। पश्चिम बंगाल में कई विभिन्न दल हैं, और यहाँ कुछ प्रमुख दल हैं:

*   **विधानसभा में मुख्यमंत्री:** कांग्रेस पार्टी के नेता ममता बनर्जी हैं, जो सांसद मंडल में विधायकों को नेतृत्व देती हैं। कांग्रेस पार्टी को 2021 में पश्चिम बंगाल की मुख्यमंत्र"," अखिल भारतीय तृणमूल कांग्रेस वर्तमान में पश्चिम बंगाल में सत्तारूढ़ राजनीतिक पार्टी है। 2011 के पश्चिम बंगाल विधान सभा चुनाव में वाम मोर्चे को अखिल भारतीय तृणमूल कांग्रेस ने हराया था, जिसने पूर्ण बहुमत हासिल किया था। इसके कारण 34 साल का शासन खत्म हो गया। पश्चिम बंगाल में कम्युनिस्ट शासन खत्म हो गया और दुनिया में सबसे लंबे समय तक लोकतांत्रिक रूप से चुनी गई कम्युनिस्ट सरकार का अंत हो गया। तृणमूल कांग्रेस की नेता ममता बनर्जी मुख्यमंत्री बनीं।",0.9624882
किस अधिनियम द्वारा उड़ीसा में प्रांतीय विधान सभा के चुनाव का प्रावधान किया गया?,उड़ीसा में प्रांतीय विधान सभा के चुनाव का प्रावधान विशेष रूप से 1935 के अधिनियम द्वारा किया गया था।, भारत सरकार अधिनियम 1935 में प्रांतीय विधान सभा और सरकार के चुनाव का प्रावधान किया गया तथा सरकार का मुखिया प्रधानमंत्री को बनाया गया।,0.91102254
 गुजरात की पहली महिला मुख्यमंत्री कौन थी?,गुजरात की पहली महिला मुख्यमंत्री जे श्री स्वाती देवी बाली थीं।, आनंदीबेन मफतभाई पटेल (जन्म 21 नवंबर 1941) गुजरात की पहली और एकमात्र (2024 तक) महिला मुख्यमंत्री थीं।,0.90100276
 2022 के गुजरात विधानसभा चुनाव में किस पार्टी ने सुपर बहुमत हासिल किया?,"मुझे खेद है, लेकिन मैं विशिष्ट साल के लिए चुनाव के परिणाम प्रदान नहीं कर सकता। हालांकि, मैं आपको बता सकता हूं कि 2017 के गुजरात विधानसभा चुनाव में, जी डी के सिंह ने भारतीय जनता पार्टी (भाजपा) के साथ अपनी चुनावी टीम के साथ चुनाव जीतकर सुपर बहुमत हासिल किया।"," 2022 के गुजरात विधानसभा चुनाव में भारतीय जनता पार्टी ने 156 सीटों के साथ बहुमत हासिल किया, जो गुजरात के इतिहास में किसी भी पार्टी द्वारा जीती गई सबसे बड़ी संख्या है। भारतीय राष्ट्रीय कांग्रेस राज्य में 3 दशकों में अपने सबसे निचले स्तर पर पहुंच गई, और आम आदमी पार्टी ने 156 सीटों के साथ बहुमत हासिल किया। आदमी पार्टी को पांच सीटें हासिल हुईं।",0.81960356
 2012 के गोवा चुनाव में किस पार्टी ने भारतीय राष्ट्रीय कांग्रेस को हराया?,2012 के गोवा विधानसभा चुनाव में कांग्रेस पार्टी की जीत हुई।,"2012 के चुनाव में भारतीय जनता पार्टी (भाजपा) ने गोवा में सीएम दिगंबर कामत के नेतृत्व वाली भारतीय राष्ट्रीय कांग्रेस सरकार को हराया था। चुनाव में भाजपा-महाराष्ट्रवादी गोमांतक गठबंधन ने जीत हासिल की थी, जिसने 40 सीटों वाली विधानसभा में 24 सीटें जीती थीं।",0.88749635
 गुजरात में कुल कितने निर्वाचन क्षेत्र हैं?,गुजरात में कुल 106 निर्वाचन क्षेत्र हैं।,182,0.2551234
 महाराष्ट्र नवनिर्माण सेना का गठन किसने किया?,महाराष्ट्र नवनिर्माण सेना (MNS) का गठन 1946 में भारतीय राष्ट्रीय नागरिक सेना (ISAF) के बाद किया गया था।,"महाराष्ट्र नवनिर्माण सेना (अनुवाद: महाराष्ट्र सुधार सेना; संक्षिप्त एमएनएस) महाराष्ट्र राज्य में स्थित एक क्षेत्रवादी दक्षिणपंथी भारतीय राजनीतिक पार्टी है और हिंदुत्व और मराठी मानुस की विचारधारा पर काम करती है।[12][13] इसकी स्थापना 9 मार्च 2006 को मुंबई में राज ठाकरे ने की थी, जब उन्होंने अपने चचेरे भाई उद्धव ठाकरे के साथ मतभेदों के कारण शिवसेना पार्टी छोड़ दी थी।",0.815054
 सामाजिक इतिहासकार बद्री नारायण के अनुसार 2015 के बिहार चुनाव में मुख्य कारक क्या था?,"मुझे खेद है, लेकिन मैं बद्री नारायण के बारे में विशिष्ट सामाजिक इतिहासकार के अनुसार 2015 के बिहार चुनाव में केवल विभिन्न कारकों के आधार पर मार्गदर्शन नहीं दे सकता। हालांकि, मैं आपको बता सकता हूं कि बिहार में 2015 के चुनाव में मुख्य कारकों में शामिल थे:

1. **राजनीतिक दलों की प्रदर्शन**: बिहार में राष","सामाजिक इतिहासकार बद्री नारायण के अनुसार हिंदुत्व की राजनीति को जाति की राजनीति से भिड़ना था, जिन्होंने 2015 की राजनीतिक उथल-पुथल को कई क्षेत्रीय राजनीतिक दलों और उनके नेताओं के समक्ष चुनौती के रूप में पहचाना, जिनमें से सभी को अपने राज्यों के भीतर विशिष्ट जाति समूहों का समर्थन प्राप्त था।",0.93898356
 भारतीय राष्ट्रीय विकास समावेशी गठबंधन (इंडिया) के गठन के पीछे क्या प्रेरणा थी?,"भारतीय राष्ट्रीय विकास समावेशी गठबंधन (एंडीआई) का गठन 1991 में हुआ था। यह गठबंधन भारतीय राष्ट्रीय कांग्रेस पार्टी के एक समूह के रूप में 29 अप्रैल 1991 को लंदन में आयोजित किया गया था। इस गठबंधन के मुख्य उद्देश्य थे - सामाजिक न्याय, आर्थिक विकास और सामाजिक समानता को बढ़ावा देना और भारत को एक सम","इसके पीछे प्रेरणा यह थी कि 2014 और 2019 के आम चुनावों में एनडीए को हराने में विपक्ष की असमर्थता के बाद, 2024 के आम चुनावों में भाजपा के नेतृत्व वाले एनडीए के खिलाफ खड़े होने के लिए लगभग सभी प्रमुख राजनीतिक दलों के एक महागठबंधन की आवश्यकता थी।",0.9008455
 फ्रीडम हाउस ने 2023 में भारतीय लोकतंत्र की स्थिति को कैसे वर्गीकृत किया?,"मुझे खेद है, लेकिन मैं व्यक्तिगत दृष्टिकोण या व्यक्तिगत राय के संदर्भ में इस प्रश्न का उत्तर नहीं दे सकता। फ्रीडम हाउस की रिपोर्ट 2023 में भारतीय लोकतंत्र की स्थिति की वर्गीकृत नहीं की गई है, क्योंकि यह एक विशिष्ट समय और स्थान से संबंधित है।"," 2023 में फ्रीडम हाउस की फ्रीडम इन द वर्ल्ड रिपोर्ट में भारत को लगातार तीसरे वर्ष ""आंशिक रूप से स्वतंत्र"" देश के रूप में वर्गीकृत किया गया है।",0.759498
चुनाव आयोग किस कानून के तहत काम करता है?,"चुनाव आयोग एक निजी कंपनी है जो भारतीय नागरिकों को मतदान सहित विभिन्न प्रकार के चुनावों में शामिल होने की अनुमति देता है। यह कानून निम्नलिखित तरीकों से काम करता है:

1. **नियमन और नियंत्रण**: चुनाव आयोग नागरिकों को मतपत्रों की गिनती के लिए मतदान स्थलों पर जाने और मतपत्र डालने की अनुमति देता है, और उन्ह", चुनाव आयोग संविधान के अनुच्छेद 324 और तत्पश्चात अधिनियमित जनप्रतिनिधित्व अधिनियम द्वारा प्रदत्त शक्तियों के अंतर्गत कार्य करता है।,0.931316
