Prompt,Response
 1973 मध्ये भारताचे सरन्यायाधीश कोणाची नियुक्ती करण्यात आली? ही नियुक्ती वादग्रस्त का झाली?,1973 मध्ये भारताचे सरन्यायाधीश सुभाष चंद्र बोस यांनी नियुक्त केले गेले होते.
 मार्च 1977 च्या सार्वत्रिक निवडणुकीत जनता पक्ष आणि त्यांच्या मित्रपक्षांनी लोकसभेच्या किती जागा जिंकल्या?,1977 च्या सार्वत्रिक निवडणुकीत जनता पक्ष आणि त्यांच्या मित्रपक्षांनी 207 जागा जिंकल्या.
 2024 पर्यंत महाराष्ट्राचे मुख्यमंत्री कोण आहेत?,ज्या वर्ष 2024पर्यंत महाराष्ट्राचे मुख्यमंत्री म्हणजे सिद्धार्थ चारणे.
कोणत्या उच्च न्यायालयाने 12 जून 1975 रोजी पंतप्रधान इंदिरा गांधी यांच्या विरोधात निकाल दिला आणि 1971 ला त्यांचे लोकसभेचे सदस्यत्व गमावले.,इंदिरा गांधी 12 जून 1975 रोजी उच्च न्यायालयाने पंतप्रधान भारताच्या विरोधात निकाल दिला आणि त्यांचे लोकसभेचे सदस्यत्व गमावले.
 भारतातील संस्थानांच्या एकत्रीकरणात सरदार पटेल यांनी बजावलेली भूमिका स्पष्ट करा.,"सरदार वल्लभ भाई पटेल (सबरमस्तान, 8 नोव्हेंबर 1891 – 28 ऑक्टोबर 1950) हे भारतीय स्वतंत्रता सेनानी आणि सामाजिक कार्यकर्त्या होते. त्यांनी भारतातील संस्थानांच्या एकत्रीकरणात महत्त्वपूर्ण भूमिका बजावली. ते गुजरातल्या पाटला येथे ज्यांनी 1936 मध्ये स्वतंत्रता सेना (मालपूर्ण"
1952 च्या पहिल्या सार्वत्रिक निवडणुकीत काँग्रेस पक्ष आणि भारतीय जनसंघाची निवडणूक चिन्हे कोणती होती?,1952 च्या सार्वत्रिक निवडणुकीत काँग्रेस पक्ष आणि भारतीय जनतांनी बी. जे. नायडू हा निवडणूक चिन्हे घेतला.
 शिवसेनेचे मुख्यालय कोठे आहे?,शिवसेनेचे मुख्यालय मुंबई आहे.
 स्वतःचा अधिकृत ध्वज असणारे एकमेव भारतीय राज्य कोणते?,उत्तर:  नागaland
 पंजाबवर वर्चस्व असलेल्या तीन राजकीय पक्षांची यादी करा?,"पंजाब एक प्रमुख राज्य आहे जो भारताच्या भारतातील सर्वात महत्त्वाच्या राज्यांपैकी एक आहे. पंजाबच्या इतिहासातील सर्वात प्रसिद्ध राजकीय पक्षांपैकी तीन म्हणजे:

1.  ब्रिटिश राज्य: पंजाब 1765 मध्ये भारतात ब्रिटिश शासन सुरू झाल्यानंतर, पंजाबच्या इतिहासातील एक महत्त्वाचा भूमिका बजावली. ब्रिटिश शासनान"
 2024 पर्यंत यूपीचे आरोग्य मंत्री कोण आहेत?,2024 पर्यंत यूपीचे आरोग्य मंत्री मोझूगा रामकृष्ण मुंडा
 2024 पर्यंत मध्यप्रदेशात सध्या कोणते सरकार सत्तेवर आहे?,उत्तर: 2024 पर्यंत मध्यप्रदेशात शिवराज सिंह चौहान सत्तेवर आहे.
 2007 मध्ये यूपी विधानसभा निवडणुकीचा निकाल काय लागला?,2007 मध्ये यूपी विधानसभा निवडणुकीचा निकाल 6 सितंबर 2007 रोजी झाला.
 एम. करुणानिधी तामिळनाडू विधानसभेसाठी कोणत्या मतदारसंघातून पहिल्यांदा निवडून आले होते?,एम. करुणानिधी तामिळनाडू विधानसभेसाठी त्यांना 1999 च्या निवडणूकमध्ये त्यांना पहिल्यांदा निवडून आली.
 ज्यांना दक्षिण भारतातील पहिले कम्युनिस्ट मानले जाते,कुरुक्षेत्र
 आंध्र प्रदेशातील सर्वात प्रभावशाली राजकीय पक्षाचे संस्थापक कोण होते?,"आंध्र प्रदेशातील सर्वात प्रभावशाली राजकीय पक्षांचे संस्थापक त्यांचे नाव आहे ""तेलुगु नādhipālakuṇja"" (T. Nādhipālakuṇja)"
 कर्नाटकच्या राजकारणावर वर्चस्व असलेल्या जातीसमूहांचा उल्लेख करा?,"कर्नाटक राज्यातील जातीय समूहांचा उल्लेख करण्यासाठी काही महत्वाचे उदाहरणांमध्ये हे येतात:

1. **कर्नाटक राज्याचा एकमेकी बादल**: कर्नाटक राज्यातील जातीय समूहांमध्ये ब्राह्मण, कृष्ण, वैदिक, मुलगा, विजावर, विश्वनाथ, नाथ, मूर्ती आणि मंगल यासारख्या जातीय समूहे समाविष्ट आहेत.

2. **शैक"
 भारतातील कोणत्या राज्याने कम्युनिस्टांना सत्तेवर निवडून दिले?,भारतात 1957 मध्ये राजगुरु राज्यांना कम्युनिस्टांना सत्तेवर आले.
 बिहारमध्ये प्रशासकीय हेतूने किती विभाग आहेत?,"बिहारमध्ये ११ विभाग आहेत.

१. अडचन विभाग
२. पूर्व Champaran विभाग
३. पूर्वी बिहार विभाग
४. पूर्वी बिहार विभाग
५. पूर्वी विभाग
६. पूर्वी विभाग
७. पूर्वी विभाग
८. पूर्वी विभाग
९. पूर्वी विभाग
१०. पूर्वी विभाग
११. पूर्वी विभाग"
 पश्चिम बंगालमध्ये निर्वासितांचा ओघ कशामुळे आला?,"पश्चिम बंगालमध्ये निर्वासितांचा ओघ म्हणून महात्मा गांधी शहाणपूर्वी एक सामाजिक कार्यकर्त्या आणि सामाजिक कामे करणार्‍या शहाणपूर्वी एक डॉक्टर म्हणून काम करत होता.

त्याच्या डॉक्टरी कार्यातून त्याचे विचार आणि कार्य सामाजिक सुधारणा आणि न्याय आणि सामाजिक सेवा यांसाठी प्रेरित"
 2024 पर्यंत पश्चिम बंगालमधील प्रमुख राजकीय पक्ष कोणता आहे?,"2024 पर्यंत पश्चिम बंगालमधील प्रमुख राजकीय पक्षांच्या या क्षेत्रातील प्रमुख पक्षांची यादी:

1. कांग्रेस पार्टी - कांग्रेस पार्टी पश्चिम बंगालमध्ये एक प्रमुख राजकीय पक्ष आहे, ह्या पक्षाच्या पूर्वाधिकारी नेतृत्वकर्त्यांनी 2023 मध्ये त्यांनी चुनाव जितकी जितकी जीत घेतली आणि ते"
 ओरिसामधील प्रांतीय विधानसभेच्या निवडणुकीसाठी कोणत्या कायद्याची तरतूद आहे?,ओरिसामधील प्रांतीय विधानसभेच्या निवडणुकीसाठी विधायिका प्राधिकाराची तरतूद आहे.
 गुजरातच्या पहिल्या महिला मुख्यमंत्री कोण होत्या?,जान्हून गुजरातच्या पहिल्या महिला मुख्यमंत्री मांझी मांडवाल होत्या.
 2022 च्या गुजरात विधानसभेच्या निवडणुकीत कोणत्या पक्षाला सर्वाधिक बहुमत मिळाले?,2022 च्या गुजरात विधानसभेच्या निवडणुकीत भारतीय जनता पार्टी (BJP) पक्षाने 179 वेळा जीत मिळाली.
 2012 गोवा निवडणुकीत कोणत्या पक्षाने भारतीय राष्ट्रीय काँग्रेसचा पराभव केला?,"2002 गोवा निवडणुकीत, काँग्रेस पक्षाने भारतीय राष्ट्रीय काँग्रेस (INC) मालिका भारतीय राष्ट्रीय काँग्रेसचा पराभव केला."
 गुजरातमध्ये एकूण किती मतदारसंघ आहेत?,"म्हणजे गुजरात हे एक राज्य आहे, आणि त्याच्या मतदातांसाठी मतदान करण्यासाठी लोकसंख्या ६.73 करोड."
 महाराष्ट्र नवनिर्माण सेनेची स्थापना कोणी केली?,महाराष्ट्र नवनिर्माण सेनेची स्थापना 17 जुलै 1946 रोजी वाराणसी येथे झाली.
 सामाजिक इतिहासकार बद्री नारायण यांनी ओळखल्याप्रमाणे 2015 च्या बिहार निवडणुकीत मुख्य घटक कोणता होता?,2015 च्या बिहार निवडणुकीत  सामाजिक इतिहासकार बद्री नारायण हे मुख्य घटक म्हणून ओळखले जाते.
 इंडियन नॅशनल डेव्हलपमेंटल इन्क्लुझिव्ह अलायन्स (INDIA) च्या स्थापनेमागील प्रेरणा काय होती?,"इंडियन नॅशनल डेव्हलपमेंटल इन्क्लुझिव्ह अलायन्स (INDIA) च्या स्थापनेच्या प्रेरणेच्या प्रकारे विहित केले आहेत. या अलायन्याच्या स्थापनेच्या प्रेरणेच्या प्रकारांमध्ये हे दोघे आहेत:

१. **महान देशे आणि संस्कृतींची रक्षा करणे**: INDIA अलायनी त्यांच्या नागरिकांना अंतर्दृष्टी, सांस"
 फ्रीडम हाऊसने 2023 मध्ये भारतीय लोकशाहीचे वर्गीकरण कसे केले?,"फ्रीडम हाऊसने 2023 मध्ये भारतीय लोकशाहीचे वर्गीकरण कसे केले नाही.

फ्रीडम हाऊसने भारतीय लोकशाहीचे वर्गीकरण करणे या कामामध्ये निमित्तांतर, स्वरूप आणि शैली यांसह अनेक कारकांचा वापर केला आहे.

फ्रीडम हाऊसने प्रारंभिक भारतीय लोकशाहीच्या वर्गीकरणामध्ये निमित्तांतर, स्वरूप आणि शैली"
 निवडणूक आयोग कोणत्या कायद्यानुसार काम करतो?,"निवडणूक आयोग (Election Commission) भारताच्या लोकतंत्राचे एक महत्त्वपूर्ण कायद्यांनी स्थापित केलेले आहे. या कायद्यानुसार, निवडणूक आयोग उत्तर प्रदेश, पश्चिम बंगाल, ओडिशा, महाराष्ट्र, आणि चंडीगढ़ या राज्यांच्या विधायिका अधिनियम 1951 मध्ये आयोजित केले जाते. या कायद्यानुसार, निवडणूक आयोग न्यायपालिकेच्य"
 भारत आणि ब्राझीलच्या हवामानाची तुलना करा,"भारत आणि ब्राझील यांच्या हवामानाची तुलना केली जाते.

भारत:

- देशाच्या क्षेत्रांच्या विविधतेमुळे हवामानाची तुलना केली जा येईल, ज्यामध्ये लहान किंवा लांब क्षेत्रांमध्ये तांबा वाढत असणाऱ्या वायू आणि लहान प्रदेशांमध्ये शुष्क वातावरण आहे. 

* शुष्क वातावरण: भ"
नर्मदा खोऱ्यात एकाग्र वसाहती आढळतात,नर्मदा खोऱ्या एकाग्र वसाहती आढळतात.
 शेतकऱ्यांच्या हितासाठी सरकारने सुरू केलेल्या विविध संस्थात्मक सुधारणा कार्यक्रमांची यादी करा.,"शेतकऱ्यांच्या हितासाठी सरकारने सुरू केलेल्या विविध संस्थात्मक सुधारणा कार्यक्रमांची यादी:

1. **राज्य सरकारी सुधारणा कार्यक्रम (RSP)**: 2003 मध्ये सुरू झाल्यानंतर, सरकारने राज्य सरकारी सुधारणा कार्यक्रम शुरू केला, ज्यामध्ये विभाग आणि जिल्हे सरकारी संस्थानांना स्थानिक संस्थानांच्या तंत्र"
 भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन करा.,"भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या भौगोलिक परिस्थितीचे वर्णन:

भाताच्या वाढीसाठी आवश्यक असलेल्या"
 भारत हा जगातील प्रमुख उत्पादक आणि निर्यातदार आहे.,"भारत हा जगातील प्रमुख उत्पादक आणि निर्यातदार देशांपैकी एक आहे आणि त्याचे प्रख्यात पर्यावरण आणि रोजगाराच्या दृष्टीकोनाने प्रमुख स्थान आहे. भारताच्या तापमान आणि वर्षांतील तापमानामुळे त्याचे तापमान आणि तापासाठी देशामधील अनेक राज्ये प्रसिद्ध आहेत, जे पाककृती आणि प्राकृतिक"
 पिवळ्या क्रांतीचा संदर्भ आहे,"पिवळ्या क्रांती ही एक महत्वाची घटना आहे जी इ.स. पूर्व 18 व्या शतकात भारतात झाली. ही घटना भारतीय स्वातंत्र्याच्या साठी महत्वाची होती आणि ती भारतीय स्वतंत्र होती.

पिवळ्या क्रांतीचा उद्देश हे होता कि भारतातील भारतीयांना इ.स. पूर्व 18 व्या शतकातील शासकांना त्यांच्या त्य"
 तांदूळ उत्पादनात भारताचा जगात कोणता क्रमांक लागतो?,तांदूळ उत्पादनात भारताचा जगात तिसऱ्या क्रमांक लागतो.
 भारतातील कोळशाच्या वितरणाचे वर्णन करा.,"भारतातील कोळशाचे वितरण या प्रक्रिया ही एक महत्त्वपूर्ण आणि महत्त्वपूर्ण प्रक्रिया आहे. कोळशाचे वितरण या प्रक्रियेत भारताच्या विभागांमध्ये कोळशाचे वितरण आणि वितरण प्रणाली असते.

कोळशाचे वितरण या प्रक्रियेत भारताच्या विभागांमध्ये कोळशाचे वितरण आणि वितरण प्रणाली अस"
 झारखंडचा कोडरमा गया-हजारीबाग पट्टा कोणत्या खनिजांच्या उत्पादनात आघाडीवर आहे?,"झारखंडचा कोडरमा गया-हजारीबाग पट्टा प्राकृत्रिक पृथ्वी पर नील, कोयला, ज्वार, शेल्फ मिट्टी आणि पानी यांसारख्या खनिजांच्या उत्पादनात आघाडीवर आहे."
भारतातील सर्वात जुने तेल उत्पादक राज्य कोणते आहे?,भारतातील सर्वात जुने तेल उत्पादक राज्य गुजरात आहे.
 भारतातील सर्वात श्रीमंत खनिज पट्टा ……………… आहे.,भारतातील सर्वात श्रीमंत खनिज पट्टा नार्जीक सिलिकॉन आहे.
 शिरा आणि लोड्समधून कोणते खनिजे मिळतात?,शिरा आणि लोड्समधून कोणते खनिजे मिळतात?
 चिपको आंदोलनाचा उद्देश काय होता?,"चिपको आंदोलन (Chipko Movement) हा एक भारतीय आंदोलन होता ज्यामध्ये लोकांनी तात्पुरते कच्चे माल व तांबे जसे कचरे कोणाला चिपकवून घेण्यासाठी यशस्वी झाले. या आंदोलनाच्या प्रमुख उद्देशांमध्ये या आहे:

1. **कचरा वाहतूक मोठाय**: चिपको आंदोलनच्या शुरुवाती तात्पुरते कच्चे माल"
 कोणत्या वन्यजीव संरक्षण कायद्याने प्रथमच वनस्पतींच्या संरक्षित प्रजातींची यादी समाविष्ट केली आहे?,"उत्तर: वनस्पतींच्या संरक्षण कायदा 1980 मध्ये वनस्पतींच्या संरक्षण कायदा लागू करण्यात आला, ज्याने प्रथमच वनस्पतींच्या संरक्षण कायदा यादी समाविष्ट केली."
 तीव्र लीचिंगमुळे कोणती माती तयार होते,उत्तर: तीव्र लीचिंगमुळे तीव्र लीचिंग या माती तयार होते.
 औद्योगिक क्षेत्राचे सार्वजनिक आणि खाजगी क्षेत्रात वर्गीकरण कोणत्या आधारावर केले जाते?,"औद्योगिक क्षेत्राचे सार्वजनिक आणि खाजगी क्षेत्रांमध्ये वर्गीकरण करण्याचा आधार असलेला म्हटल्यानंतर, ते विविध प्रकारच्या आधारावर केले जाते. प्रत्येक क्षेत्राच्या स्वरूपाची निर्धारणा आणि विशेषता निर्धारणासाठी सामान्यतः काही आधारांचा वापर केला जातो.

1. औद्योगिक क्षेत्र (Industrial Sector) आण"
 भारताचे मँचेस्टर म्हणून कोणते शहर ओळखले जाते?,मँचेस्टर भारताच्या पूर्वी सिंध्याचे हे शहर आहे.
 भारतात स्टीलचा दरडोई वापर आहे,"भारतात स्टीलचा दरडोई वापर आहे विविध उद्योगांमध्ये. त्याच्या संकल्पना म्हणून तो विविध उद्योगांमध्ये वापरला जातो, जसे की:

1. **डोका**: स्टीलचा दरडोई हा डोकांच्या मांगीसाठी वापरला जातो. स्टीलच्या दरडोन्याची निर्मिती स्टीलमध्ये केली जाते, ज्यामुळे हे डोका बनविण"
सिंधू आणि गंगा या नद्यांचा उगम कोठे आहे?,"गंगा नदी उत्तराखंड राज्यात स्थित होती, आणि सिंधू नदी उत्तर प्रदेश राज्यात स्थित होती."
 कोणत्या दोन द्वीपकल्पीय नद्या कुंडातून वाहतात?,उत्तर: कुंड
 आजचे कोणते खंड गोंडवाना भूमीचा भाग होते?,"गोंडवाना भूमीचा भाग आंध्र प्रदेश राज्यात असून, हे खंडगोंडवाना खंडाच्या भागांपैकी एक आहे."
 कोणते दोन देश सर्वात लांब आंतरराष्ट्रीय सीमा सामायिक करतात?,उत्तर:  संयुक्त राज्य अमेरिका आणि क्रिसमास (नीदरलँड)
 जगातील सर्वात दाट लोकवस्तीचे शहर कोणते आहे?,जगातील सर्वात दाट लोकवस्तीचे शहर मिस्र आहे
 खालीलपैकी कोणते राज्य भारतात कॉफीचे सर्वात जास्त उत्पादक आहे?,उत्तर: पुडुचेरी राज्य भारतात कॉफीचे सर्वात जास्त उत्पादक आहे
 सिरोही पॉइंट पृथ्वीवर कोठे आहे?,"सिरोही पॉइंट पृथ्वीवर हिंदू मंदिर आणि सांस्कृतिक केंद्र आहे जे मंदिर, गोआ, सिम्ला, सोलाकाम, पोर्टलुंबू आणि त्रिपुरातून दूरी ४०० किलोमीटर किंवा चालू असून प्रशांत महाद्वीपाच्या पूर्वी स्थित आहे."
 भारतातील सर्वात मोठी अंतर्देशीय क्षारयुक्त पाणथळ व्यवस्था कोणत्या राज्यात आहे?,उत्तर: भारतात सर्वात मोठी अंतर्देशीय क्षारयुक्त पाणथळ व्यवस्था मध्यप्रदेश राज्यात आहे
 भारताच्या एकूण क्षेत्रफळाच्या किती टक्के भूभाग गंगा नदीने व्यापला आहे?,उत्तर: भारताच्या एकूण क्षेत्रफळाच्या 28% भाग गंगा नदीने व्यापला आहे.
 अलकनंदा नदीचा उगम कोणत्या हिमनदीतून झाला आहे?,"अलकनंदा नदीचा उगम सुमारे ३००० मीटर पासून काळजी घालणारे राष्ट्रीय प्रवाह, अलकनंदा हे एक प्रमुख प्रमुख नदी आहे जो भारतातून मालपुर, उत्तराखंड राज्यातून निर्माण झालेला आहे.

अलकनंदा नदी गंगा नदीच्या मुख्य प्रवाहाची एक छोटी नदी आहे आणि आपल्याला काळजी घालणारे राष्ट्रीय प्रव"
 कोणती नदी वुलर सरोवराला पाणी देते?,उत्तर : वुलर सरोवर ही लंदन येथे पाणी देते.
 व्हीलर आयलंड हे कोणत्या बेटाचे पूर्वीचे नाव होते?,व्हीलर आयलंड हे न्यू इंग्लंडच्या बेटाचे नाव होते.
 काश्मीर हरिण आढळणारे एकमेव अभयारण्य कोणते आहे?,उत्तर: काश्मीर हरिण आढळणारे एकमेव अभयारण्य नागपूर आहे
 बायोस्फीअर रिझर्व्ह प्रोग्राम भारतात कोणत्या वर्षी सुरू करण्यात आला?,बायोस्फीअर रिझर्व्ह प्रोग्राम 1961 वर्षी सुरू करण्यात आला.
 कोणत्या प्रकारच्या खडकामध्ये जीवाश्म आढळतात?,"जीवाश्मांच्या प्रकारांमध्ये, असाची खडके वेगवेगळ्या प्रकारच्या प्रकारच्या प्रकारच्या प्रकारच्या पावसाच्या कारणानुसार विकसित होतात."
" ""औषध रेखा"" हे अक्षांश वर्तुळाचे दुसरे नाव आहे?",औषध रेखा हे वायुमंडलीय शृंखलेच्या तिसरे नाव आहे.
 चंद्रभागा या नावाने ओळखली जाणारी चिनाब नदी चंद्रा आणि भागा नद्यांच्या विलीनीकरणाने कोणत्या ठिकाणाजवळ येते?,चंद्रभागा या नावाने ओळखली जाणारी चिनाब नदी आणि नावाने ओळखली जाणारी भागा नद्यांच्या विलीनीकरणाने वायुमंडलाचे निम्न प्रदेश आणि मध्य प्रदेश आहे.
 कोणत्या ग्रहाची दिवसाची लांबी आहे आणि त्याच्या अक्षाचा झुकता पृथ्वीच्या ग्रहासारखाच आहे?,उत्तर: किरण
 जगातील सर्वात मोठा बेट देश कोणता आहे?,उत्तर: जगात सर्वात मोठा देश द्वीप स्ट्रिटल या देशांचा आहे.
 मोठ्या नदीच्या उपनद्या असलेल्या खोऱ्यांना काय म्हणतात?,"मोठ्या नदीच्या उपनद्या असलेल्या खोऱ्यांना ""कोकम"" म्हणतात."
" ""माबला पर्वत"" कोणत्या देशात आहेत?",उत्तर:  माबला पर्वत मालदीवच्या तुलनेत केला पर्वत.
 सर्वात जुने वृक्षारोपण कोठे झाले?,"सर्वात जुने वृक्षारोपण व्यापक रूप से विश्वभरात केले जात आहे आणि त्याच्या इतिहासावर अवलंबून आहे. प्रत्येक क्षेत्रातील लोकांनी वृक्षारोपणाचा त्यांचे आपल्या जीवन आणि गुणवाने समृद्धी स्वीकारला आहे.

मध्ये सर्वात जुने वृक्षारोपणांची माहिती दिले जाते:

1. मालदीव (विश"
शनिवार वाड्याच्या बांधकामाचा खर्च किती होता?,"शनिवार वाड्या बांधकामाचे खर्च विविध आहे जसे की:

1. **प्रक्रिया सुरु करणे**: त्या दौरान जे खर्च असतात ते हे आहे:

*   **प्रक्रिया सुरु करणे**: प्रक्रिया सुरु करणे (प्रक्रिया शुल्क, काम करणे प्रक्रिया शुल्क, प्रक्रिया शुल्क) -  20,000 - 50,000 रुपये
2. **बांधकामाचे खर्च"
छत्रपती शाहू महाराजांची राजवट कधी सुरू झाली आणि कधी संपली?,छत्रपती शाहू महाराजांची राजवट 1592 मध्ये सुरू झाली आणि 1680 मध्ये संपली.
बहमनी सल्तनत कोणी स्थापन केली?,"बहमनी सल्तनत म्हणजे भारतीय राजवंशाच्या एक प्रभावशाली संस्था होती, जी 13व्या शतकात स्थापन केली गुजरात (ज्यामध्ये द्रविड (डैवम) हे राजा होते)."
गड आला पण सिन्हा गेला कोण कोनाला म्हंटले?,म्हंटले
हेमाडपंती मंदिरांच्या बाह्य भिंतींचे वैशिष्ट्य काय असते?,"हेमाडपंती मंदिरांना बाह्य भिंतींच्या वैशिष्ट्यांमध्ये स्थानिक शिलालेख, वास्तुकला आणि कलाकारांची मूर्तींची प्रतिमांची संख्या आणि पद्धती आहे.

हेमाडपंती मंदिरांमध्ये स्थानिक शिलालेख हे त्यांचे मूर्तींच्या पूर्णत्वाच्या प्रतीक आहे ज्याच्या निमित्ताने त्यांना एक"
किताब-ए-नवरस' हा ग्रंथ कोणी लिहिला?,किताब-ए-नवरस या ग्रंथाचा लिहिलेला सारांश असे आहे की प्रत्येक वर्ष केवळ कृष्ण महिन्यानंतरच्या नवरसाच्या पूर्वार्धातील 15 दिवसांच्या काळात पंचमा दिवसांतील दुर्गा पूजा केला जातो.
‘दर्पण’ या पहिल्या मराठी पत्राचे संपादक कोण होते?,दर्पण या पहिल्या मराठी पत्राचे संपादक मोझी देश्मीवर्णक होते.
"भारत सरकारने 1950 मध्ये कोणत्या मंडळाची स्थापना केली होती 
ज्यामध्ये पंतप्रधान पं. जवाहरलाल नेहरू चेअरमन होते?",भारत सरकारने 1950 मध्ये स्थापना केली होती ज्यामध्ये पंतप्रधान पं. जवाहरलाल नेहरू चेअरमन होते.
राजकारणावरील 'सभानीती' हे पुस्तक कोणत्या शासकाने प्रकाशित केले?,सभानीती हे पुस्तक 'कृष्णाचे साम्राज्य' (Swayamvara of Krishna) की प्रकाशनाचे शासक 'कृष्णाचे शिष्य' (Svāyamvara of Krishna) 'कृष्णाचे शिष्य' (Svāyamvara of Krishna) किंवा 'कृष्णाचे शिष्य' (Svāyamvara of Krishna) किंवा 'कृष्णाचे शिष्य' किंवा 'कृष्णाचे शिष्य' हे शासक 'कृष्णाचे शिष्य' (Sv
1905 मध्ये 'भारत सेवक समाज' कोणी स्थापन केला?,1905 मध्ये 'भारत सेवक समाज' स्थापन केले जे विस्तारित मार्कसवाद आणि सिसर्वकवादी विचारांचे संकेत म्हणून ओळखले जाते.
सावरकरांच्या आत्मचरित्राचे नाव काय होते?,सावरकरांचे आत्मचरित्र हे 'सावरकरा या देशातील ब्रिटिश शासनामुळे शासित होते किंवा शासित केल्यापूर्वी किंवा स्वतःच्या शासनामुळे स्थापित केलेले किंवा ते स्वतःच्या शासनामुळे स्थापित केलेले होते.
अमळनेर गिरणी कामगार युनियनचे अध्यक्ष कोण होते?,अमळनेर गिरणी कामगार युनियनचे अध्यक्ष डॉ. प्रमोद पाटील होते.
राजकोट येथे रेडक्रॉस सोसायटीची स्थापना कोण केली?,राजकोट येथे रेडक्रॉस सोसायटीची स्थापना पॉल क्रिस्टल रेडक्रॉस सोसायटी (Polycross) द्वारे केली गेली होती.
आयटकच्या पहिल्या अधिवेशनाचे अध्यक्ष कोण होते?,उत्तर: आयटलचा पहिला अधिवेशन 1931 मध्ये आयात केले गेले होते.
हंगामी सरकारचे प्रमुख कोण होते?,हंगामी सरकारचे प्रमुख म्हणजे व्हिक्टर व्हेर्बर.
भारत व पाकिस्तान या दोन स्वतंत्र राष्ट्रांची निर्मिती करण्याची योजना कोणी तयार केली?,भारत व पाकिस्तान या दोन स्वतंत्र राष्ट्रांची निर्मिती या योजना स्कॉटिश लॉर्ड ह्यून्सी यांनी तयार केली होती.
१ मे १९६० रोजी कोणत्या राज्याची निर्मिती झाली?,उत्तर: १ मे १९६० रोजी गुजरात राज्याची निर्मिती झाली.
