Prompt,Response,Answer,Similarity
 1973 मध्ये भारताचे सरन्यायाधीश कोणाची नियुक्ती करण्यात आली? ही नियुक्ती वादग्रस्त का झाली?,1973 मध्ये भारताचे सरन्यायाधीश सुभाष चंद्र बोस यांनी नियुक्त केले गेले होते.,"1973 मध्ये, सरकारने तीन न्यायाधीशांची ज्येष्ठता बाजूला ठेवली आणि न्यायमूर्ती एएन रे यांची भारताचे सरन्यायाधीश म्हणून नियुक्ती केली. ही नियुक्ती राजकीयदृष्ट्या वादग्रस्त ठरली कारण रद्द करण्यात आलेल्या तीनही न्यायमूर्तींनी सरकारच्या भूमिकेविरुद्ध निर्णय दिला होता.",0.91572845
 मार्च 1977 च्या सार्वत्रिक निवडणुकीत जनता पक्ष आणि त्यांच्या मित्रपक्षांनी लोकसभेच्या किती जागा जिंकल्या?,1977 च्या सार्वत्रिक निवडणुकीत जनता पक्ष आणि त्यांच्या मित्रपक्षांनी 207 जागा जिंकल्या., जनता पक्ष आणि त्यांच्या मित्रपक्षांनी लोकसभेच्या 542 पैकी 330 जागा जिंकल्या; जनता पक्षाने स्वतः 295 जागा जिंकल्या आणि त्यामुळे स्पष्ट बहुमत मिळाले.,0.74605
 2024 पर्यंत महाराष्ट्राचे मुख्यमंत्री कोण आहेत?,ज्या वर्ष 2024पर्यंत महाराष्ट्राचे मुख्यमंत्री म्हणजे सिद्धार्थ चारणे., एकनाथ संभाजी शिंदे हे एक भारतीय राजकारणी आहेत जे 30 जून 2022 पासून महाराष्ट्राचे 20 वे आणि विद्यमान मुख्यमंत्री म्हणून काम करत आहेत. ते फेब्रुवारी 2023 पासून शिवसेनेचे नेते आणि जुलै 2022 पासून महाराष्ट्र विधानसभेचे सभागृह नेते म्हणूनही काम करत आहेत. .,0.91600615
कोणत्या उच्च न्यायालयाने 12 जून 1975 रोजी पंतप्रधान इंदिरा गांधी यांच्या विरोधात निकाल दिला आणि 1971 ला त्यांचे लोकसभेचे सदस्यत्व गमावले.,इंदिरा गांधी 12 जून 1975 रोजी उच्च न्यायालयाने पंतप्रधान भारताच्या विरोधात निकाल दिला आणि त्यांचे लोकसभेचे सदस्यत्व गमावले.," उत्तर प्रदेश राज्य वि. राज नारायण (1975 AIR 865, 1975 SCR (3) 333) हा 1975 मधील अलाहाबाद उच्च न्यायालयाने सुनावणी केलेला खटला होता ज्यामध्ये भारताच्या पंतप्रधान इंदिरा गांधी यांना निवडणूक गैरव्यवहारांसाठी दोषी ठरवण्यात आले होते.",0.8733964
 भारतातील संस्थानांच्या एकत्रीकरणात सरदार पटेल यांनी बजावलेली भूमिका स्पष्ट करा.,"सरदार वल्लभ भाई पटेल (सबरमस्तान, 8 नोव्हेंबर 1891 – 28 ऑक्टोबर 1950) हे भारतीय स्वतंत्रता सेनानी आणि सामाजिक कार्यकर्त्या होते. त्यांनी भारतातील संस्थानांच्या एकत्रीकरणात महत्त्वपूर्ण भूमिका बजावली. ते गुजरातल्या पाटला येथे ज्यांनी 1936 मध्ये स्वतंत्रता सेना (मालपूर्ण"," स्वातंत्र्यानंतरच्या महत्त्वाच्या काळात सरदार पटेल हे भारताचे उपपंतप्रधान आणि गृहमंत्री होते. संस्थानांच्या राज्यकर्त्यांशी ठामपणे पण मुत्सद्देगिरीने वाटाघाटी करण्यात आणि त्यातील बहुतेकांना भारतीय संघराज्यात आणण्यात त्यांनी ऐतिहासिक भूमिका बजावली. सरदार पटेल यांनी भारतातील संस्थानांच्या एकत्रीकरणात खालील भूमिका बजावल्या: त्यांनी राजनैतिक आणि वाटाघाटीद्वारे संस्थानांकडून विलय करण्याचे पत्र प्राप्त केले. हैदराबाद, जुनागढ, मणिपूर आणि काश्मीर या राज्यांच्या विलीनीकरणासाठी त्यांनी बळाचा वापर केला.",0.87988925
1952 च्या पहिल्या सार्वत्रिक निवडणुकीत काँग्रेस पक्ष आणि भारतीय जनसंघाची निवडणूक चिन्हे कोणती होती?,1952 च्या सार्वत्रिक निवडणुकीत काँग्रेस पक्ष आणि भारतीय जनतांनी बी. जे. नायडू हा निवडणूक चिन्हे घेतला., 1952 च्या पहिल्या सार्वत्रिक निवडणुकीत काँग्रेस पक्षाचे चिन्ह बैलजोडी आणि दिवा (दीपक) हे भारतीय जनसंघाचे चिन्ह होते.,0.99031097
 शिवसेनेचे मुख्यालय कोठे आहे?,शिवसेनेचे मुख्यालय मुंबई आहे.," ठाण्यातील आनंद दिघे यांच्या घरी शिवसेनेचे मुख्यालय आणि मुख्य कार्यालय आहे. दिघे हे शिवसेनेचे मुखी नेता (मुख्य नेते) एकनाथ शिंदे यांचे गुरु व मार्गदर्शक होते. 24 फेब्रुवारी 2023 रोजी, शिंदे यांनी उद्धव ठाकरे यांच्याकडून पक्षाची सूत्रे हाती घेतल्यानंतर मुख्यालय शिवसेना भवनातून हलवण्यात आले;[75] तर ठाकरे यांच्या गटाचे शिवसेना भवनावर नियंत्रण राहिले.",0.81990224
 स्वतःचा अधिकृत ध्वज असणारे एकमेव भारतीय राज्य कोणते?,उत्तर:  नागaland,"जम्मू आणि काश्मीरचा राज्य ध्वज हा भारतीय राज्यघटनेच्या कलम 370 द्वारे प्रदेशाला विशेष दर्जा अंतर्गत 1952 आणि 2019 दरम्यान भारताच्या पूर्वीच्या जम्मू आणि काश्मीर राज्यात वापरला जाणारा प्रतीक होता. हा लाल-पांढरा ध्वज होता ज्यामध्ये नांगर आणि राज्याच्या तीन घटक प्रदेशांचे प्रतिनिधित्व होते. ऑगस्ट 2019 मध्ये कलम 370 रद्द केल्यानंतर, या ध्वजाचा अधिकृत दर्जा गमावला.",0.64131814
 पंजाबवर वर्चस्व असलेल्या तीन राजकीय पक्षांची यादी करा?,"पंजाब एक प्रमुख राज्य आहे जो भारताच्या भारतातील सर्वात महत्त्वाच्या राज्यांपैकी एक आहे. पंजाबच्या इतिहासातील सर्वात प्रसिद्ध राजकीय पक्षांपैकी तीन म्हणजे:

1.  ब्रिटिश राज्य: पंजाब 1765 मध्ये भारतात ब्रिटिश शासन सुरू झाल्यानंतर, पंजाबच्या इतिहासातील एक महत्त्वाचा भूमिका बजावली. ब्रिटिश शासनान"," पुनर्गठित सध्याच्या पंजाबमधील राजकारणात प्रामुख्याने भारतीय राष्ट्रीय काँग्रेस, आम आदमी पार्टी आणि शिरोमणी अकाली दल (बादल) या तीन पक्षांचे वर्चस्व आहे.",0.9434813
 2024 पर्यंत यूपीचे आरोग्य मंत्री कोण आहेत?,2024 पर्यंत यूपीचे आरोग्य मंत्री मोझूगा रामकृष्ण मुंडा," जय प्रताप सिंग (जन्म 7 सप्टेंबर 1953) हे उत्तर प्रदेश सरकारच्या योगी आदित्यनाथ मंत्रालयात वैद्यकीय आणि आरोग्य, कुटुंब कल्याण, माता आणि बाल कल्याण मंत्री म्हणून काम करणारे भारतीय राजकारणी आहेत.",0.782979
 2024 पर्यंत मध्यप्रदेशात सध्या कोणते सरकार सत्तेवर आहे?,उत्तर: 2024 पर्यंत मध्यप्रदेशात शिवराज सिंह चौहान सत्तेवर आहे.,"डॉ. मोहन यादव (जन्म 25 मार्च 1965) हे 2023 पासून (2024 पर्यंत) मध्य प्रदेशचे 19 वे आणि विद्यमान मुख्यमंत्री म्हणून काम करणारे भारतीय राजकारणी आणि व्यापारी आहेत. भारतीय जनता पक्षाचे सदस्य, ते 2013 पासून मध्य प्रदेशच्या विधानसभेचे सदस्य म्हणून उज्जैन दक्षिण मतदारसंघाचे प्रतिनिधित्व करतात.",0.8554388
 2007 मध्ये यूपी विधानसभा निवडणुकीचा निकाल काय लागला?,2007 मध्ये यूपी विधानसभा निवडणुकीचा निकाल 6 सितंबर 2007 रोजी झाला., बहुजन समाज पक्षाने विधानसभेत 403 पैकी 206 जागा जिंकून पूर्ण बहुमत मिळवले.,0.86343116
 एम. करुणानिधी तामिळनाडू विधानसभेसाठी कोणत्या मतदारसंघातून पहिल्यांदा निवडून आले होते?,एम. करुणानिधी तामिळनाडू विधानसभेसाठी त्यांना 1999 च्या निवडणूकमध्ये त्यांना पहिल्यांदा निवडून आली., कुळीथलाय,0.28874543
 ज्यांना दक्षिण भारतातील पहिले कम्युनिस्ट मानले जाते,कुरुक्षेत्र,"मलायापुरम सिंगारावेलू हे दक्षिण भारतातील पहिले कम्युनिस्ट मानले जातात. 1925 मध्ये, ते भारतीय कम्युनिस्ट पक्षाच्या संस्थापकांपैकी एक बनले; आणि कानपूर येथील उद्घाटन संमेलनाचे अध्यक्षपद भूषवले. भारतातील पहिली कामगार संघटना आयोजित करण्यासाठी आणि 19व्या शतकातील भारतात प्रचलित असलेल्या तीव्र अस्पृश्यतेच्या विरोधात लढा देण्यासाठी देखील ते ओळखले जातात.",0.6090577
 आंध्र प्रदेशातील सर्वात प्रभावशाली राजकीय पक्षाचे संस्थापक कोण होते?,"आंध्र प्रदेशातील सर्वात प्रभावशाली राजकीय पक्षांचे संस्थापक त्यांचे नाव आहे ""तेलुगु नādhipālakuṇja"" (T. Nādhipālakuṇja)", तेलुगु देसम पार्टी (टीडीपी; भाषांतर. पार्टी ऑफ द तेलुगु लँड) हा आंध्र प्रदेश आणि तेलंगणा राज्यांमध्ये प्रभाव असलेला एक भारतीय प्रादेशिक राजकीय पक्ष आहे. 29 मार्च 1982 रोजी तेलुगू चित्रपट स्टार NT रामाराव (NTR) यांनी त्याची स्थापना केली आणि तेलुगू लोकांना समर्थन देण्यावर लक्ष केंद्रित केले.,0.8722347
 कर्नाटकच्या राजकारणावर वर्चस्व असलेल्या जातीसमूहांचा उल्लेख करा?,"कर्नाटक राज्यातील जातीय समूहांचा उल्लेख करण्यासाठी काही महत्वाचे उदाहरणांमध्ये हे येतात:

1. **कर्नाटक राज्याचा एकमेकी बादल**: कर्नाटक राज्यातील जातीय समूहांमध्ये ब्राह्मण, कृष्ण, वैदिक, मुलगा, विजावर, विश्वनाथ, नाथ, मूर्ती आणि मंगल यासारख्या जातीय समूहे समाविष्ट आहेत.

2. **शैक",कर्नाटकच्या राजकीय वातावरणात दोन जाती गटांचे वर्चस्व आहे - दक्षिण कर्नाटक वोक्कलिगांचे प्राबल्य आणि उत्तर आणि मध्य कर्नाटकात लिंगायतांचे वर्चस्व आहे परंतु दलित हे प्रमुख मतदार आहेत आणि कर्नाटकातील सत्ताधारी पक्षाचे निर्णायक घटक आहेत.,0.9559105
 भारतातील कोणत्या राज्याने कम्युनिस्टांना सत्तेवर निवडून दिले?,भारतात 1957 मध्ये राजगुरु राज्यांना कम्युनिस्टांना सत्तेवर आले.," केरळने 1957 मध्ये लोकशाही पद्धतीने कम्युनिस्टांना सत्तेवर निवडून इतिहास रचला, असे करणारे जगातील पहिले देश आहे.",0.886335
 बिहारमध्ये प्रशासकीय हेतूने किती विभाग आहेत?,"बिहारमध्ये ११ विभाग आहेत.

१. अडचन विभाग
२. पूर्व Champaran विभाग
३. पूर्वी बिहार विभाग
४. पूर्वी बिहार विभाग
५. पूर्वी विभाग
६. पूर्वी विभाग
७. पूर्वी विभाग
८. पूर्वी विभाग
९. पूर्वी विभाग
१०. पूर्वी विभाग
११. पूर्वी विभाग"," प्रशासकीय हेतूंसाठी, बिहार राज्याचे नऊ विभाग आहेत- पाटणा, तिरहुत, सारण, दरभंगा, कोसी, पूर्णिया, भागलपूर, मुंगेर आणि मगध विभाग- जे त्यांच्यामध्ये अडतीस जिल्ह्यांमध्ये विभागलेले आहेत.",0.95164233
 पश्चिम बंगालमध्ये निर्वासितांचा ओघ कशामुळे आला?,"पश्चिम बंगालमध्ये निर्वासितांचा ओघ म्हणून महात्मा गांधी शहाणपूर्वी एक सामाजिक कार्यकर्त्या आणि सामाजिक कामे करणार्‍या शहाणपूर्वी एक डॉक्टर म्हणून काम करत होता.

त्याच्या डॉक्टरी कार्यातून त्याचे विचार आणि कार्य सामाजिक सुधारणा आणि न्याय आणि सामाजिक सेवा यांसाठी प्रेरित","1971 च्या बांगलादेश मुक्ती युद्धामुळे पश्चिम बंगालमध्ये लाखो निर्वासितांचा ओघ आला, ज्यामुळे त्याच्या पायाभूत सुविधांवर महत्त्वपूर्ण ताण आला. आंतरराष्ट्रीय प्रसारमाध्यमांनी निर्वासितांचे संकट बऱ्यापैकी हाताळण्याचे श्रेय सरकारला दिले.",0.7816199
 2024 पर्यंत पश्चिम बंगालमधील प्रमुख राजकीय पक्ष कोणता आहे?,"2024 पर्यंत पश्चिम बंगालमधील प्रमुख राजकीय पक्षांच्या या क्षेत्रातील प्रमुख पक्षांची यादी:

1. कांग्रेस पार्टी - कांग्रेस पार्टी पश्चिम बंगालमध्ये एक प्रमुख राजकीय पक्ष आहे, ह्या पक्षाच्या पूर्वाधिकारी नेतृत्वकर्त्यांनी 2023 मध्ये त्यांनी चुनाव जितकी जितकी जीत घेतली आणि ते"," अखिल भारतीय तृणमूल काँग्रेस हा सध्या पश्चिम बंगालमध्ये राज्य करणारा राजकीय पक्ष आहे. 2011 च्या पश्चिम बंगाल विधानसभा निवडणुकीत, अखिल भारतीय तृणमूल काँग्रेसने डाव्या आघाडीचा पराभव केला ज्याने पूर्ण बहुमताने जागा जिंकल्या. यामुळे पश्चिम बंगालमधील 34 वर्षांची कम्युनिस्ट राजवट संपली तसेच जगातील सर्वाधिक काळ लोकशाही पद्धतीने निवडून आलेल्या कम्युनिस्ट सरकारचाही अंत झाला. तृणमूल काँग्रेसच्या नेत्या ममता बॅनर्जी मुख्यमंत्री झाल्या.",0.82136583
 ओरिसामधील प्रांतीय विधानसभेच्या निवडणुकीसाठी कोणत्या कायद्याची तरतूद आहे?,ओरिसामधील प्रांतीय विधानसभेच्या निवडणुकीसाठी विधायिका प्राधिकाराची तरतूद आहे.,भारत सरकार कायदा 1935 मध्ये प्रांतीय विधानसभा आणि सरकारच्या निवडणुकीची तरतूद करण्यात आली आणि सरकारच्या प्रमुखाला पंतप्रधान म्हणून नियुक्त केले गेले.,0.89146537
 गुजरातच्या पहिल्या महिला मुख्यमंत्री कोण होत्या?,जान्हून गुजरातच्या पहिल्या महिला मुख्यमंत्री मांझी मांडवाल होत्या., आनंदीबेन मफतभाई पटेल (जन्म 21 नोव्हेंबर 1941) यांनी गुजरातच्या पहिल्या आणि एकमेव (2024 पर्यंत) महिला मुख्यमंत्री म्हणून काम केले.,0.882833
 2022 च्या गुजरात विधानसभेच्या निवडणुकीत कोणत्या पक्षाला सर्वाधिक बहुमत मिळाले?,2022 च्या गुजरात विधानसभेच्या निवडणुकीत भारतीय जनता पार्टी (BJP) पक्षाने 179 वेळा जीत मिळाली.," 2022 च्या गुजरात विधानसभेच्या निवडणुकीत, भारतीय जनता पक्षाने 156 जागांवर प्रचंड बहुमत मिळवले, जे गुजरातच्या इतिहासातील कोणत्याही पक्षाने जिंकलेले सर्वात जास्त आहे. भारतीय राष्ट्रीय काँग्रेस राज्यात 3 दशकांतील सर्वात नीचांकी संख्याबळावर घसरली आणि आम आदमी पक्षाला पाच जागा मिळाल्या.",0.833483
 2012 गोवा निवडणुकीत कोणत्या पक्षाने भारतीय राष्ट्रीय काँग्रेसचा पराभव केला?,"2002 गोवा निवडणुकीत, काँग्रेस पक्षाने भारतीय राष्ट्रीय काँग्रेस (INC) मालिका भारतीय राष्ट्रीय काँग्रेसचा पराभव केला.",२०१२ च्या निवडणुकीत भारतीय जनता पक्षाने (भाजप) गोव्यात मुख्यमंत्री दिगंबर कामत यांच्या नेतृत्वाखालील भारतीय राष्ट्रीय काँग्रेस सरकारचा पराभव केला. ही निवडणूक भाजप-महाराष्ट्रवादी गोमंतक युतीने जिंकली ज्याने 40 जागांच्या विधानसभेत 24 जागा जिंकल्या.,0.7908927
 गुजरातमध्ये एकूण किती मतदारसंघ आहेत?,"म्हणजे गुजरात हे एक राज्य आहे, आणि त्याच्या मतदातांसाठी मतदान करण्यासाठी लोकसंख्या ६.73 करोड.",182,0.2246339
 महाराष्ट्र नवनिर्माण सेनेची स्थापना कोणी केली?,महाराष्ट्र नवनिर्माण सेनेची स्थापना 17 जुलै 1946 रोजी वाराणसी येथे झाली., महाराष्ट्र नवनिर्माण सेना (अनुवाद: महाराष्ट्र सुधार सेना; abbr. MNS) हा महाराष्ट्र राज्यात स्थित एक प्रादेशिक अतिउजवा भारतीय राजकीय पक्ष आहे आणि हिंदुत्व आणि मराठी माणूस यांच्या विचारधारेवर चालतो.[12][13] 9 मार्च 2006 रोजी राज ठाकरे यांनी त्यांचे चुलत भाऊ उद्धव ठाकरे यांच्याशी मतभेद झाल्यामुळे शिवसेना पक्ष सोडल्यानंतर त्याची स्थापना केली.,0.76447165
 सामाजिक इतिहासकार बद्री नारायण यांनी ओळखल्याप्रमाणे 2015 च्या बिहार निवडणुकीत मुख्य घटक कोणता होता?,2015 च्या बिहार निवडणुकीत  सामाजिक इतिहासकार बद्री नारायण हे मुख्य घटक म्हणून ओळखले जाते.,"सामाजिक इतिहासकार बद्री नारायण यांनी मांडलेल्या जातीच्या राजकारणाचा सामना करण्यासाठी हिंदुत्वाचे राजकारण होते, ज्यांनी 2015 च्या राजकीय गोंधळाची ओळख अनेक प्रादेशिक राजकीय पक्षांसमोरील आव्हानाचा एक भाग म्हणून केली होती आणि या सर्व नेत्यांना आतील विशिष्ट जाती गटांचा पाठिंबा होता. त्यांची राज्ये.",0.83500206
 इंडियन नॅशनल डेव्हलपमेंटल इन्क्लुझिव्ह अलायन्स (INDIA) च्या स्थापनेमागील प्रेरणा काय होती?,"इंडियन नॅशनल डेव्हलपमेंटल इन्क्लुझिव्ह अलायन्स (INDIA) च्या स्थापनेच्या प्रेरणेच्या प्रकारे विहित केले आहेत. या अलायन्याच्या स्थापनेच्या प्रेरणेच्या प्रकारांमध्ये हे दोघे आहेत:

१. **महान देशे आणि संस्कृतींची रक्षा करणे**: INDIA अलायनी त्यांच्या नागरिकांना अंतर्दृष्टी, सांस", 2014 आणि 2019 च्या सार्वत्रिक निवडणुकांमध्ये NDA ला पराभूत करण्यात विरोधकांच्या अक्षमतेनंतर 2024 च्या सार्वत्रिक निवडणुकीत भाजपच्या नेतृत्वाखालील NDA विरुद्ध उभे राहण्यासाठी जवळजवळ सर्व प्रमुख राजकीय पक्षांची महाआघाडीची गरज होती.,0.8374649
 फ्रीडम हाऊसने 2023 मध्ये भारतीय लोकशाहीचे वर्गीकरण कसे केले?,"फ्रीडम हाऊसने 2023 मध्ये भारतीय लोकशाहीचे वर्गीकरण कसे केले नाही.

फ्रीडम हाऊसने भारतीय लोकशाहीचे वर्गीकरण करणे या कामामध्ये निमित्तांतर, स्वरूप आणि शैली यांसह अनेक कारकांचा वापर केला आहे.

फ्रीडम हाऊसने प्रारंभिक भारतीय लोकशाहीच्या वर्गीकरणामध्ये निमित्तांतर, स्वरूप आणि शैली"," 2023 मध्ये फ्रीडम हाऊसच्या फ्रीडम इन द वर्ल्ड रिपोर्टमध्ये सलग तिसऱ्या वर्षी भारताला ""अंशतः मुक्त"" देश म्हणून वर्गीकृत केले गेले.",0.8598788
 निवडणूक आयोग कोणत्या कायद्यानुसार काम करतो?,"निवडणूक आयोग (Election Commission) भारताच्या लोकतंत्राचे एक महत्त्वपूर्ण कायद्यांनी स्थापित केलेले आहे. या कायद्यानुसार, निवडणूक आयोग उत्तर प्रदेश, पश्चिम बंगाल, ओडिशा, महाराष्ट्र, आणि चंडीगढ़ या राज्यांच्या विधायिका अधिनियम 1951 मध्ये आयोजित केले जाते. या कायद्यानुसार, निवडणूक आयोग न्यायपालिकेच्य",निवडणूक आयोग घटनेच्या कलम ३२४ आणि त्यानंतर लागू केलेल्या लोकप्रतिनिधी कायद्याने दिलेल्या अधिकारांनुसार काम करतो.,0.5779594
